#election,2020_muni_t2,Municipales 2020 T2,muni,t2,2020
record_type,bureau_code,nuance_code,nuance_label,ratio_voix_exprimes,abstention_percent,blancs_percent
participation,501,,,,58.69,1.03
participation,502,,,,70.98,1.12
participation,503,,,,61.47,1.63
participation,504,,,,58.64,0.27
participation,505,,,,53.68,0.71
participation,506,,,,52.84,0.52
participation,507,,,,59.2,0.47
participation,508,,,,69.92,2.11
participation,509,,,,67.92,0.98
participation,510,,,,63.91,1.15
participation,511,,,,65.25,0.54
participation,512,,,,63.49,0.0
participation,513,,,,54.71,1.14
participation,514,,,,58.99,0.0
participation,515,,,,54.18,1.09
participation,516,,,,51.53,1.53
participation,517,,,,69.82,0.49
participation,518,,,,77.41,0.0
participation,519,,,,59.48,1.6
participation,520,,,,70.92,1.74
participation,521,,,,75.33,1.6
participation,522,,,,67.94,0.63
participation,523,,,,69.08,1.42
participation,524,,,,51.16,0.0
participation,525,,,,62.89,1.29
participation,526,,,,55.6,0.48
participation,527,,,,60.54,1.22
participation,528,,,,56.02,1.69
participation,529,,,,55.9,1.6
participation,530,,,,60.56,0.0
participation,531,,,,58.29,0.92
result,501,LDVC,nan,70.5,,
result,501,LVEC,nan,29.5,,
result,502,LDVC,nan,70.39,,
result,502,LVEC,nan,29.62,,
result,503,LDVC,nan,58.77,,
result,503,LVEC,nan,41.23,,
result,504,LDVC,nan,72.22,,
result,504,LVEC,nan,27.78,,
result,505,LDVC,nan,64.8,,
result,505,LVEC,nan,35.19,,
result,506,LDVC,nan,77.12,,
result,506,LVEC,nan,22.87,,
result,507,LDVC,nan,67.85,,
result,507,LVEC,nan,32.15,,
result,508,LDVC,nan,51.98,,
result,508,LVEC,nan,48.01,,
result,509,LDVC,nan,65.67,,
result,509,LVEC,nan,34.32,,
result,510,LDVC,nan,69.09,,
result,510,LVEC,nan,30.9,,
result,511,LDVC,nan,59.44,,
result,511,LVEC,nan,40.56,,
result,512,LDVC,nan,57.81,,
result,512,LVEC,nan,42.19,,
result,513,LDVC,nan,62.39,,
result,513,LVEC,nan,37.62,,
result,514,LDVC,nan,47.76,,
result,514,LVEC,nan,52.24,,
result,515,LDVC,nan,56.5,,
result,515,LVEC,nan,43.5,,
result,516,LDVC,nan,52.55,,
result,516,LVEC,nan,47.45,,
result,517,LDVC,nan,49.75,,
result,517,LVEC,nan,50.25,,
result,518,LDVC,nan,59.88,,
result,518,LVEC,nan,40.12,,
result,519,LDVC,nan,68.56,,
result,519,LVEC,nan,31.44,,
result,520,LDVC,nan,60.09,,
result,520,LVEC,nan,39.91,,
result,521,LDVC,nan,48.89,,
result,521,LVEC,nan,51.11,,
result,522,LDVC,nan,61.27,,
result,522,LVEC,nan,38.73,,
result,523,LDVC,nan,64.84,,
result,523,LVEC,nan,35.16,,
result,524,LDVC,nan,50.6,,
result,524,LVEC,nan,49.39,,
result,525,LDVC,nan,53.65,,
result,525,LVEC,nan,46.36,,
result,526,LDVC,nan,44.82,,
result,526,LVEC,nan,55.18,,
result,527,LDVC,nan,63.68,,
result,527,LVEC,nan,36.32,,
result,528,LDVC,nan,50.62,,
result,528,LVEC,nan,49.38,,
result,529,LDVC,nan,45.08,,
result,529,LVEC,nan,54.92,,
result,530,LDVC,nan,40.48,,
result,530,LVEC,nan,59.52,,
result,531,LDVC,nan,53.56,,
result,531,LVEC,nan,46.44,,
