#election,2024_euro_t1,Européennes 2024 T1,euro,t1,2024
record_type,bureau_code,nuance_code,nuance_label,ratio_voix_exprimes,abstention_percent,blancs_percent
participation,501,,,,32.12,0.46
participation,502,,,,50.64,0.87
participation,503,,,,34.26,0.65
participation,504,,,,36.38,0.35
participation,505,,,,27.9,0.6
participation,506,,,,29.83,0.19
participation,507,,,,28.8,0.13
participation,508,,,,37.35,0.78
participation,509,,,,41.27,0.99
participation,510,,,,34.14,0.74
participation,511,,,,33.87,0.72
participation,512,,,,40.0,0.6
participation,513,,,,33.75,0.4
participation,514,,,,34.55,0.15
participation,515,,,,30.75,0.54
participation,516,,,,32.28,0.38
participation,517,,,,48.88,1.1
participation,518,,,,49.47,1.31
participation,519,,,,29.91,1.01
participation,520,,,,44.54,0.93
participation,521,,,,51.69,2.03
participation,522,,,,37.43,1.12
participation,523,,,,38.03,0.72
participation,524,,,,24.74,0.46
participation,525,,,,38.68,0.59
participation,526,,,,33.4,0.77
participation,527,,,,36.82,0.9
participation,528,,,,34.96,1.07
participation,529,,,,33.48,0.49
participation,530,,,,36.92,0.41
participation,531,,,,34.92,0.0
result,501,LCOM,GAUCHE UNIE,0.62,,
result,501,LDIV,HUMANITE SOUVERAINE,2.47,,
result,501,LDVD,AR,0.31,,
result,501,LDVG,CHANGER L'EUROPE,0.31,,
result,501,LECO,ÉQUINOXE,1.23,,
result,501,LENS,BESOIN D'EUROPE,26.01,,
result,501,LEXD,L'EUROPE CA SUFFIT !,1.08,,
result,501,LEXG,PARTI REVOLUTIONNAIRE COMMUNISTES,0.62,,
result,501,LFI,LFI - UP,6.66,,
result,501,LLR,LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE,13.16,,
result,501,LREC,"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR",6.81,,
result,501,LRN,La FRANCE REVIENT,15.79,,
result,501,LUG,REVEIL EUR,18.27,,
result,501,LVEC,EUROPE ÉCOLOGIE,6.66,,
result,502,LCOM,GAUCHE UNIE,0.66,,
result,502,LDIV,HUMANITE SOUVERAINE,4.6,,
result,502,LDVD,AR,0.44,,
result,502,LDVG,CHANGER L'EUROPE,0.44,,
result,502,LECO,ÉQUINOXE,1.76,,
result,502,LENS,BESOIN D'EUROPE,16.45,,
result,502,LEXD,L'EUROPE CA SUFFIT !,0.22,,
result,502,LEXG,PARTI REVOLUTIONNAIRE COMMUNISTES,0.22,,
result,502,LFI,LFI - UP,23.9,,
result,502,LLR,LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE,8.33,,
result,502,LREC,"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR",4.39,,
result,502,LRN,La FRANCE REVIENT,18.42,,
result,502,LUG,REVEIL EUR,15.35,,
result,502,LVEC,EUROPE ÉCOLOGIE,4.82,,
result,503,LCOM,GAUCHE UNIE,1.65,,
result,503,LDIV,HUMANITE SOUVERAINE,2.98,,
result,503,LDVD,AR,1.65,,
result,503,LDVG,CHANGER L'EUROPE,0.67,,
result,503,LECO,ÉQUINOXE,2.65,,
result,503,LENS,BESOIN D'EUROPE,18.35,,
result,503,LEXD,L'EUROPE CA SUFFIT !,0.99,,
result,503,LEXG,PARTI REVOLUTIONNAIRE COMMUNISTES,1.32,,
result,503,LFI,LFI - UP,6.45,,
result,503,LLR,LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE,12.89,,
result,503,LREC,"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR",4.46,,
result,503,LRN,La FRANCE REVIENT,20.17,,
result,503,LUG,REVEIL EUR,18.84,,
result,503,LVEC,EUROPE ÉCOLOGIE,6.94,,
result,504,LCOM,GAUCHE UNIE,0.87,,
result,504,LDIV,HUMANITE SOUVERAINE,4.19,,
result,504,LDVD,AR,1.05,,
result,504,LDVG,CHANGER L'EUROPE,0.17,,
result,504,LECO,ÉQUINOXE,1.74,,
result,504,LENS,BESOIN D'EUROPE,25.31,,
result,504,LEXD,L'EUROPE CA SUFFIT !,0.17,,
result,504,LEXG,PARTI REVOLUTIONNAIRE COMMUNISTES,0.17,,
result,504,LFI,LFI - UP,5.06,,
result,504,LLR,LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE,17.8,,
result,504,LREC,"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR",6.11,,
result,504,LRN,La FRANCE REVIENT,14.14,,
result,504,LUG,REVEIL EUR,16.75,,
result,504,LVEC,EUROPE ÉCOLOGIE,6.46,,
result,505,LCOM,GAUCHE UNIE,1.68,,
result,505,LDIV,HUMANITE SOUVERAINE,1.98,,
result,505,LDVD,AR,0.61,,
result,505,LDVG,CHANGER L'EUROPE,0.0,,
result,505,LECO,ÉQUINOXE,1.52,,
result,505,LENS,BESOIN D'EUROPE,23.51,,
result,505,LEXD,L'EUROPE CA SUFFIT !,0.92,,
result,505,LEXG,PARTI REVOLUTIONNAIRE COMMUNISTES,0.15,,
result,505,LFI,LFI - UP,4.43,,
result,505,LLR,LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE,17.86,,
result,505,LREC,"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR",6.11,,
result,505,LRN,La FRANCE REVIENT,14.5,,
result,505,LUG,REVEIL EUR,19.54,,
result,505,LVEC,EUROPE ÉCOLOGIE,7.18,,
result,506,LCOM,GAUCHE UNIE,0.57,,
result,506,LDIV,HUMANITE SOUVERAINE,2.47,,
result,506,LDVD,AR,0.57,,
result,506,LDVG,CHANGER L'EUROPE,0.0,,
result,506,LECO,ÉQUINOXE,0.76,,
result,506,LENS,BESOIN D'EUROPE,27.79,,
result,506,LEXD,L'EUROPE CA SUFFIT !,0.95,,
result,506,LEXG,PARTI REVOLUTIONNAIRE COMMUNISTES,0.0,,
result,506,LFI,LFI - UP,3.02,,
result,506,LLR,LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE,15.5,,
