#election,2024_legi_t2,Législatives 2024 T2,legi,t2,2024
record_type,bureau_code,nuance_code,nuance_label,ratio_voix_exprimes,abstention_percent,blancs_percent
participation,501,,,,22.83,0.94
participation,502,,,,36.4,0.67
participation,503,,,,24.52,1.99
participation,504,,,,23.87,1.16
participation,505,,,,19.7,1.72
participation,506,,,,19.89,1.15
participation,507,,,,18.57,1.37
participation,508,,,,27.46,1.48
participation,509,,,,29.88,1.24
participation,510,,,,24.17,2.56
participation,511,,,,21.85,1.11
participation,512,,,,27.45,1.25
participation,513,,,,23.69,1.4
participation,514,,,,22.28,1.18
participation,515,,,,20.63,1.52
participation,516,,,,21.71,1.32
participation,517,,,,32.26,1.66
participation,518,,,,35.19,2.46
participation,519,,,,21.5,1.03
participation,520,,,,30.66,1.49
participation,521,,,,36.25,0.88
participation,522,,,,25.83,1.35
participation,523,,,,24.64,1.91
participation,524,,,,17.89,1.14
participation,525,,,,29.17,1.51
participation,526,,,,21.03,1.31
participation,527,,,,24.93,1.01
participation,528,,,,23.73,1.3
participation,529,,,,22.94,1.12
participation,530,,,,22.12,2.52
participation,531,,,,22.36,1.29
result,501,ENS,nan,55.28,,
result,501,RN,nan,19.65,,
result,501,UG,nan,25.07,,
result,502,ENS,nan,32.03,,
result,502,RN,nan,18.98,,
result,502,UG,nan,48.98,,
result,503,ENS,nan,50.15,,
result,503,RN,nan,22.95,,
result,503,UG,nan,26.9,,
result,504,ENS,nan,57.25,,
result,504,RN,nan,18.3,,
result,504,UG,nan,24.45,,
result,505,ENS,nan,58.07,,
result,505,RN,nan,17.64,,
result,505,UG,nan,24.29,,
result,506,ENS,nan,60.43,,
result,506,RN,nan,18.03,,
result,506,UG,nan,21.54,,
result,507,ENS,nan,59.51,,
result,507,RN,nan,20.65,,
result,507,UG,nan,19.84,,
result,508,ENS,nan,41.27,,
result,508,RN,nan,21.05,,
result,508,UG,nan,37.69,,
result,509,ENS,nan,42.68,,
result,509,RN,nan,24.79,,
result,509,UG,nan,32.54,,
result,510,ENS,nan,45.32,,
result,510,RN,nan,19.63,,
result,510,UG,nan,35.05,,
result,511,ENS,nan,44.22,,
result,511,RN,nan,23.62,,
result,511,UG,nan,32.16,,
result,512,ENS,nan,44.27,,
result,512,RN,nan,22.14,,
result,512,UG,nan,33.59,,
result,513,ENS,nan,49.76,,
result,513,RN,nan,17.7,,
result,513,UG,nan,32.54,,
result,514,ENS,nan,40.05,,
result,514,RN,nan,16.82,,
result,514,UG,nan,43.12,,
result,515,ENS,nan,44.76,,
result,515,RN,nan,17.86,,
result,515,UG,nan,37.38,,
result,516,ENS,nan,41.03,,
result,516,RN,nan,11.88,,
result,516,UG,nan,47.09,,
result,517,ENS,nan,35.44,,
result,517,RN,nan,24.89,,
result,517,UG,nan,39.66,,
result,518,ENS,nan,21.52,,
result,518,RN,nan,32.7,,
result,518,UG,nan,45.78,,
result,519,ENS,nan,53.88,,
result,519,RN,nan,23.13,,
result,519,UG,nan,23.0,,
result,520,ENS,nan,30.42,,
result,520,RN,nan,27.76,,
result,520,UG,nan,41.83,,
result,521,ENS,nan,27.68,,
result,521,RN,nan,18.53,,
result,521,UG,nan,53.79,,
result,522,ENS,nan,43.48,,
result,522,RN,nan,25.38,,
result,522,UG,nan,31.14,,
result,523,ENS,nan,43.55,,
result,523,RN,nan,25.49,,
result,523,UG,nan,30.96,,
result,524,ENS,nan,47.47,,
result,524,RN,nan,9.96,,
result,524,UG,nan,42.57,,
result,525,ENS,nan,35.27,,
result,525,RN,nan,16.78,,
result,525,UG,nan,47.95,,
result,526,ENS,nan,40.77,,
result,526,RN,nan,11.69,,
result,526,UG,nan,47.54,,
result,527,ENS,nan,46.34,,
result,527,RN,nan,19.51,,
result,527,UG,nan,34.15,,
result,528,ENS,nan,44.03,,
result,528,RN,nan,13.0,,
result,528,UG,nan,42.97,,
result,529,ENS,nan,36.98,,
result,529,RN,nan,13.8,,
result,529,UG,nan,49.22,,
result,530,ENS,nan,35.92,,
result,530,RN,nan,11.57,,
result,530,UG,nan,52.5,,
result,531,ENS,nan,40.3,,
result,531,RN,nan,16.28,,
result,531,UG,nan,43.42,,
