N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
19,MONTEE SAINT BARTHELEMY,21,,,
20,QUAI ROMAIN ROLLAND,18,,,
34,RUE DU BOEUF,18,,,
2,PLACE DU PETIT COLLEGE,15,,,
16,QUAI ROMAIN ROLLAND,15,,,
19,QUAI ROMAIN ROLLAND,15,,,
13,RUE DE LA BOMBARDE,15,,,
12,RUE DU BOEUF,15,,,
16,RUE DU BOEUF,15,,,
17,RUE DE LA BOMBARDE,14,,,
34,RUE SAINT JEAN,14,,,
54,RUE SAINT JEAN,14,,,
2,RUE DE LA BALEINE,13,,,
10,RUE DU BOEUF,13,,,
3,RUE DU BOEUF,13,,,
32,RUE DU BOEUF,13,,,
27,RUE SAINT JEAN,13,,,
2,PLACE DU GOUVERNEMENT,11,,,
4,PLACE DU GOUVERNEMENT,11,,,
22,QUAI ROMAIN ROLLAND,11,,,
14,RUE DU BOEUF,11,,,
24,RUE SAINT JEAN,11,,,
17,MONTEE SAINT BARTHELEMY,10,,,
3,PLACE DU GOUVERNEMENT,10,,,
15,QUAI ROMAIN ROLLAND,10,,,
4,RUE DE LA BALEINE,10,,,
8,RUE DES TROIS MARIES,10,,,
36,RUE DU BOEUF,10,,,
4,PLACE DU PETIT COLLEGE,9,,,
38,RUE DU BOEUF,9,,,
19,RUE SAINT JEAN,9,,,
42,RUE SAINT JEAN,9,,,
46,RUE SAINT JEAN,9,,,
1,B RUE DE LA LOGE,8,,,
5,PLACE DE LA BALEINE,8,,,
6,PLACE DE LA BALEINE,8,,,
2,RUE DE GADAGNE,8,,,
5,RUE DU BOEUF,8,,,
6,RUE DU PALAIS DE JUSTICE,8,,,
18,RUE SAINT JEAN,8,,,
50,RUE SAINT JEAN,8,,,
1,RUE SOUFFLOT,8,,,
27,MONTEE SAINT BARTHELEMY,7,,,
18,QUAI ROMAIN ROLLAND,7,,,
19,RUE DU BOEUF,7,,,
27,RUE DU BOEUF,7,,,
31,RUE DU BOEUF,7,,,
13,RUE SAINT JEAN,7,,,
28,RUE SAINT JEAN,7,,,
33,RUE SAINT JEAN,7,,,
58,RUE SAINT JEAN,7,,,
1,B MONTEE DU GARILLAN,6,,,
1,PETITE RUE TRAMASSAC,6,,,
14,QUAI ROMAIN ROLLAND,6,,,
17,QUAI ROMAIN ROLLAND,6,,,
4,RUE DE GADAGNE,6,,,
10,RUE DE LA BOMBARDE,6,,,
23,RUE DU BOEUF,6,,,
10,RUE SAINT JEAN,6,,,
15,RUE SAINT JEAN,6,,,
40,RUE SAINT JEAN,6,,,
3,RUE SOUFFLOT,6,,,
1,PLACE DE LA BALEINE,5,,,
3,PLACE DE LA BALEINE,5,,,
5,PLACE DU PETIT COLLEGE,5,,,
9,RUE DES TROIS MARIES,5,,,
21,RUE DU BOEUF,5,,,
29,RUE DU BOEUF,5,,,
9,RUE DU BOEUF,5,,,
2,RUE DU PALAIS DE JUSTICE,5,,,
8,RUE DU PALAIS DE JUSTICE,5,,,
56,RUE SAINT JEAN,5,,,
3,MONTEE DU GARILLAN,4,,,
4,MONTEE DU GARILLAN,4,,,
7,MONTEE DU GARILLAN,4,,,
1,PLACE DU GOUVERNEMENT,4,,,
5,PLACE DU GOUVERNEMENT,4,,,
8,RUE DE LA BOMBARDE,4,,,
3,RUE DES TROIS MARIES,4,,,
18,RUE DU BOEUF,4,,,
28,RUE DU BOEUF,4,,,
16,RUE SAINT JEAN,4,,,
21,RUE SAINT JEAN,4,,,
22,RUE SAINT JEAN,4,,,
23,RUE SAINT JEAN,4,,,
25,RUE SAINT JEAN,4,,,
31,RUE SAINT JEAN,4,,,
32,RUE SAINT JEAN,4,,,
44,RUE SAINT JEAN,4,,,
52,RUE SAINT JEAN,4,,,
28,B RUE SAINT JEAN,3,,,
2,MONTEE DU GARILLAN,3,,,
9,MONTEE DU GARILLAN,3,,,
4,PLACE NEUVE SAINT JEAN,3,,,
21,QUAI ROMAIN ROLLAND,3,,,
6,RUE DE GADAGNE,3,,,
3,RUE DE LA BALEINE,3,,,
4,RUE DE LA FRONDE,3,,,
6,RUE DE LA FRONDE,3,,,
10,RUE DES TROIS MARIES,3,,,
11,RUE DES TROIS MARIES,3,,,
13,RUE DES TROIS MARIES,3,,,
4,RUE DES TROIS MARIES,3,,,
20,RUE DU BOEUF,3,,,
24,RUE DU BOEUF,3,,,
26,RUE DU BOEUF,3,,,
40,RUE DU BOEUF,3,,,
12,RUE SAINT JEAN,3,,,
36,RUE SAINT JEAN,3,,,
48,RUE SAINT JEAN,3,,,
1,MONTEE DU GARILLAN,2,,,
11,MONTEE DU GARILLAN,2,,,
2,PLACE DE LA BALEINE,2,,,
1,PLACE NEUVE SAINT JEAN,2,,,
3,PLACE NEUVE SAINT JEAN,2,,,
1,RUE DE LA BALEINE,2,,,
2,RUE DE LA FRONDE,2,,,
13,RUE DU BOEUF,2,,,
14,RUE SAINT JEAN,2,,,
20,RUE SAINT JEAN,2,,,
29,RUE SAINT JEAN,2,,,
30,RUE SAINT JEAN,2,,,
62,RUE SAINT JEAN,2,,,
5,MONTEE DU GARILLAN,1,,,
6,MONTEE DU GARILLAN,1,,,
15,MONTEE SAINT BARTHELEMY,1,,,
2,PLACE NEUVE SAINT JEAN,1,,,
8,RUE DE GADAGNE,1,,,
1,RUE DES TROIS MARIES,1,,,
11,RUE DU BOEUF,1,,,
2,RUE DU BOEUF,1,,,
30,RUE DU BOEUF,1,,,
6,RUE DU BOEUF,1,,,
17,RUE SAINT JEAN,1,,,
35,RUE SAINT JEAN,1,,,
64,RUE SAINT JEAN,1,,,
